Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
Trampush et al. (2014) (Mulvihill et al (2005)),Ball Creek at Stow,0.031897927,0.002,0.019,26.2,0.5,16.4
Trampush et al. (2014) (Mulvihill et al (2005)),Ball Creek at Stow,0.031897927,0.002,0.019,17.3,0.5,16.4
Trampush et al. (2014) (Mulvihill et al (2005)),Ball Creek at Stow,0.019138756,0.002,0.019,22.2,0.3,16.4
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Creek near Lancaster,0.018939394,0.002,0.0896,32.9,1.4,89.2
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Creek near Lancaster,0.016233766,0.002,0.0896,40.5,1.2,89.2
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Creek near Lancaster,0.013528139,0.002,0.0896,53.9,1,89.2
Trampush et al. (2014) (Mulvihill et al (2005)),Conewango Creek at Waterboro,0.013127667,0.002,0.0554,63.1,0.6,79.9
Trampush et al. (2014) (Mulvihill et al (2005)),Conewango Creek at Waterboro,0.026255333,0.002,0.0554,39.6,1.2,79.9
Trampush et al. (2014) (Mulvihill et al (2005)),Conewango Creek at Waterboro,0.026255333,0.002,0.0554,37.2,1.2,79.9
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek Tributary near Batavia,6.060606061,0.003,0.00006,11.2,0.2,1.1
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek Tributary near Batavia,9.090909091,0.003,0.00006,4.9,0.3,1.1
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek Tributary near Batavia,9.090909091,0.003,0.00006,4,0.3,1.1
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,0.826446281,0.003,0.0011,10.7,0.5,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,1.157024793,0.003,0.0011,11.3,0.7,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,0.991735537,0.003,0.0011,10.4,0.6,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.011328236,0.003,0.0963,35.4,0.6,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.011328236,0.003,0.0963,29.8,0.6,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.015104314,0.003,0.0963,26,0.8,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Inlet near Ithaca,0.068870523,0.004,0.0352,18.9,1,22.5
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Inlet near Ithaca,0.061983471,0.004,0.0352,16.5,0.9,22.5
Trampush et al. (2014) (Mulvihill et al (2005)),Cayuga Inlet near Ithaca,0.068870523,0.004,0.0352,15.8,1,22.5
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.017152659,0.004,0.0848,19.3,0.6,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.020011435,0.004,0.0848,24.7,0.7,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Fivemile Creek near Kanona,0.020011435,0.004,0.0848,19.5,0.7,37.7
Trampush et al. (2014) (Mulvihill et al (2005)),Catherine Creek at Montour Falls,0.066115702,0.007,0.0385,25.4,0.6,32.6
Trampush et al. (2014) (Mulvihill et al (2005)),Catherine Creek at Montour Falls,0.099173554,0.007,0.0385,18,0.9,32.6
Trampush et al. (2014) (Mulvihill et al (2005)),Catherine Creek at Montour Falls,0.08815427,0.007,0.0385,13.3,0.8,32.6
Trampush et al. (2014) (Mulvihill et al (2005)),Catherine Creek at Montour Falls,0.102192889,0.008,0.0427,17.7,0.9,32.6
Trampush et al. (2014) (Mulvihill et al (2005)),Catherine Creek at Montour Falls,0.113547655,0.008,0.0427,18,1,32.6
Trampush et al. (2014) (Mulvihill et al (2005)),Big Creek near Howard,0.078061473,0.012,0.0559,6.8,0.6,8.5
Trampush et al. (2014) (Mulvihill et al (2005)),Big Creek near Howard,0.091071719,0.012,0.0559,7,0.7,8.5
Trampush et al. (2014) (Mulvihill et al (2005)),Big Creek near Howard,0.104081965,0.012,0.0559,8.4,0.8,8.5
Trampush et al. (2014) (Mulvihill et al (2005)),Stony Brook Tributary at South Dansville,0.068426197,0.014,0.0372,6.3,0.3,4.4
Trampush et al. (2014) (Mulvihill et al (2005)),Stony Brook Tributary at South Dansville,0.068426197,0.014,0.0372,8.3,0.3,4.4
Trampush et al. (2014) (Mulvihill et al (2005)),Stony Brook Tributary at South Dansville,0.068426197,0.014,0.0372,10.3,0.3,4.4
Trampush et al. (2014) (Mulvihill et al (2005)),Cuthrie Run near Big Flats,0.074822297,0.016,0.0648,10.1,0.5,7.5
Trampush et al. (2014) (Mulvihill et al (2005)),Cuthrie Run near Big Flats,0.074822297,0.016,0.0648,9.7,0.5,7.5
Trampush et al. (2014) (Mulvihill et al (2005)),Cuthrie Run near Big Flats,0.074822297,0.016,0.0648,9.8,0.5,7.5
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek above Blossom Road near Rochester,4.545454545,0.0005,0.0001,19,1.5,29.7
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek above Blossom Road near Rochester,5.757575758,0.0005,0.0001,18.2,1.9,29.7
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek above Blossom Road near Rochester,3.636363636,0.0005,0.0001,28.7,1.2,29.7
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek above Blossom Road near Rochester,5.454545455,0.0005,0.0001,19.4,1.8,29.7
Trampush et al. (2014) (Mulvihill et al (2006)),Tonawanda Creek at Rapids,0.06916996,0.001,0.0184,50.6,2.1,117.2
Trampush et al. (2014) (Mulvihill et al (2006)),Tonawanda Creek at Rapids,0.062582345,0.001,0.0184,69.5,1.9,117.2
Trampush et al. (2014) (Mulvihill et al (2006)),Tonawanda Creek at Rapids,0.072463768,0.001,0.0184,51.5,2.2,117.2
Trampush et al. (2014) (Mulvihill et al (2006)),East Branch Allen Creek at Pittsford,0.340909091,0.003,0.0048,7.6,0.9,3.4
Trampush et al. (2014) (Mulvihill et al (2006)),East Branch Allen Creek at Pittsford,0.303030303,0.003,0.0048,7.6,0.8,3.4
Trampush et al. (2014) (Mulvihill et al (2006)),East Branch Allen Creek at Pittsford,0.340909091,0.003,0.0048,7.6,0.9,3.4
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek at Railroad Mills near Fishers,0.216847373,0.003,0.0109,12.6,1.3,12.3
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek at Railroad Mills near Fishers,0.200166806,0.003,0.0109,13.3,1.2,12.3
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek at Railroad Mills near Fishers,0.133444537,0.003,0.0109,21.2,0.8,12.3
Trampush et al. (2014) (Mulvihill et al (2006)),Irondequoit Creek at Railroad Mills near Fishers,0.183486239,0.003,0.0109,15.6,1.1,12.3
Trampush et al. (2014) (Mulvihill et al (2006)),Oatka Creek at Garbutt,0.020602627,0.003,0.0706,52.4,0.8,65.4
Trampush et al. (2014) (Mulvihill et al (2006)),Oatka Creek at Garbutt,0.020602627,0.003,0.0706,54.3,0.8,65.4
Trampush et al. (2014) (Mulvihill et al (2006)),Oatka Creek at Garbutt,0.028328612,0.003,0.0706,43,1.1,65.4
Trampush et al. (2014) (Mulvihill et al (2006)),Canandaigua Outlet Tributary near Alloway,12.12121212,0.004,0.0001,4.5,0.5,2.2
Trampush et al. (2014) (Mulvihill et al (2006)),Canandaigua Outlet Tributary near Alloway,12.12121212,0.004,0.0001,4.7,0.5,2.2
Trampush et al. (2014) (Mulvihill et al (2006)),Canandaigua Outlet Tributary near Alloway,12.12121212,0.004,0.0001,4.6,0.5,2.2
Trampush et al. (2014) (Mulvihill et al (2006)),Butternut Creek near Jamesville,0.037411149,0.005,0.0405,21.6,0.5,15.5
Trampush et al. (2014) (Mulvihill et al (2006)),Butternut Creek near Jamesville,0.029928919,0.005,0.0405,27.1,0.4,15.5
Trampush et al. (2014) (Mulvihill et al (2006)),Butternut Creek near Jamesville,0.029928919,0.005,0.0405,25.1,0.4,15.5
Trampush et al. (2014) (Mulvihill et al (2006)),Butternut Creek near Jamesville,0.029928919,0.005,0.0405,22.6,0.4,15.5
Trampush et al. (2014) (Mulvihill et al (2006)),Northrup Creek at North Greece,0.046705588,0.006,0.0545,11.9,0.7,12.4
Trampush et al. (2014) (Mulvihill et al (2006)),Northrup Creek at North Greece,0.053377815,0.006,0.0545,10,0.8,12.4
Trampush et al. (2014) (Mulvihill et al (2006)),Northrup Creek at North Greece,0.053377815,0.006,0.0545,12.4,0.8,12.4
Trampush et al. (2014) (Mulvihill et al (2006)),Second Creek Tributary at Alton,4.242424242,0.007,0.0005,3.6,0.5,1.3
Trampush et al. (2014) (Mulvihill et al (2006)),Second Creek Tributary at Alton,4.242424242,0.007,0.0005,4.5,0.5,1.3
Trampush et al. (2014) (Mulvihill et al (2006)),Second Creek Tributary at Alton,4.242424242,0.007,0.0005,3.4,0.5,1.3
Trampush et al. (2014) (Mulvihill et al (2006)),Flint Creek at Phelps,0.224466891,0.01,0.027,27.8,1,48.7
Trampush et al. (2014) (Mulvihill et al (2006)),Flint Creek at Phelps,0.269360269,0.01,0.027,21.5,1.2,48.7
Trampush et al. (2014) (Mulvihill et al (2006)),Flint Creek at Phelps,0.224466891,0.01,0.027,23.1,1,48.7
Trampush et al. (2014) (Sherwood and Huitger (2005)),Skull Fork near Londonderry,0.017465724,0.0001,0.00347,10.8,1,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Tiffin River at Stryker,0.865800866,0.00012,0.00021,37,2.5,54.7
Trampush et al. (2014) (Sherwood and Huitger (2005)),Grand River near Painesville,0.00891337,0.00058,0.07493,96,1.9,300.2
Trampush et al. (2014) (Sherwood and Huitger (2005)),Ohio Brush Creek near West Union,0.037836845,0.00064,0.03793,63.8,3.7,410.6
Trampush et al. (2014) (Sherwood and Huitger (2005)),Greenville Creek near Bradford,0.031978072,0.00105,0.02786,43.4,1.4,70.5
Trampush et al. (2014) (Sherwood and Huitger (2005)),Clear Creek near Rockbridge,0.045236224,0.00111,0.03123,21.9,2.1,77.3
Trampush et al. (2014) (Sherwood and Huitger (2005)),Sandy Run near Lake Hope,0.119899355,0.00137,0.00554,9.6,0.8,9.4
Trampush et al. (2014) (Sherwood and Huitger (2005)),Price Creek near Brennersville,0.024196021,0.00146,0.03657,17.9,1,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Sandusky River near Bucyrus,0.026499761,0.00149,0.0443,29.7,1.3,45.6
Trampush et al. (2014) (Sherwood and Huitger (2005)),Hinkley Creek at Charlestown,0.058826284,0.00157,0.01294,12.1,0.8,5
Trampush et al. (2014) (Sherwood and Huitger (2005)),Big Creek at McClure,0.264267677,0.00161,0.0048,13.1,1.3,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Gallman Creek near Monticello,0.114722753,0.00198,0.00523,5.2,0.5,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Keith Fork at Keith,0.13027917,0.00273,0.01143,12.8,0.9,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Yellow Creek near Hammondsville,0.055936303,0.00333,0.05412,38.5,1.5,82.7
Trampush et al. (2014) (Sherwood and Huitger (2005)),West Branch Mahoning River near Ravenna,0.066496599,0.00391,0.0392,17.2,1.1,25.8
Trampush et al. (2014) (Sherwood and Huitger (2005)),Little Mill Creek near Coshocton,0.072233477,0.00489,0.02872,10.1,0.7,11.8
Trampush et al. (2014) (Sherwood and Huitger (2005)),Yellow Creek at Botzum,0.055267703,0.00496,0.05983,19.3,1.1,35.4
Trampush et al. (2014) (Sherwood and Huitger (2005)),Walnut Creek near Boughtonville,0.058289719,0.00568,0.04134,10.2,0.7,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Little Mill Creek near Coshocton,0.124245541,0.00598,0.02917,10.8,1,11
Trampush et al. (2014) (Sherwood and Huitger (2005)),North Fork at Bath Center,0.096329931,0.00641,0.02823,9.4,0.7,9.1
Trampush et al. (2014) (Sherwood and Huitger (2005)),Crooked Creek at Alma,0.080596082,0.00735,0.05527,25.9,1,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Chagrin River at Fullertown,0.07500849,0.00751,0.06068,21,1,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Dry Run near Bangs,0.082715848,0.01267,0.02785,4.7,0.3,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Blake Run near Reily,0.069281999,0.01472,0.03863,4.2,0.3,1.3
Trampush et al. (2014) (Sherwood and Huitger (2005)),No Name Creek at No Name,0.09629536,0.01632,0.0719,14.4,0.7,
Trampush et al. (2014) (Sherwood and Huitger (2005)),Wayne Creek at Waynesville,0.197408961,0.02659,0.04898,6.3,0.6,7.9
Trampush et al. (2014) (Sherwood and Huitger (2005)),Wood Run near Woodsfield,0.232110805,0.0397,0.05183,7.6,0.5,5.4
Trampush et al. (2014) (Sherwood and Huitger (2005)),Higgins Run near Higginsport,0.193280049,0.05042,0.09486,12.1,0.6,20.1
Trampush et al. (2014) (Wilkerson and Parker (2011)),Amazon River at Obidos,1.275378788,0.00000875,0.0002,,48.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Tonle Sap (at Kompong Chhnang) Cambodia,6.173939394,0.0000167,0.00001,,6.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mississippi (Vicksurg to Angola) U.S.,1.1524,0.0000473,0.0005,,20.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Rio Parana (Argentina),1.01010101,0.00005,0.0003,,10,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Bhagirathi (in West Bengal state) India,1.152188552,0.000058,0.00018,,5.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Jamuna River (Bangladesh),1.090909091,0.00006,0.0002,,6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mekong River at Wat Sop  (No: 00248; p. 71),1.546432063,0.00007,0.00031,,11.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Peace River at Peace Point,2.283195592,0.000074,0.00022,,11.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Maude, New South Wales, Australia)",0.507467177,0.0000758,0.00057,,6.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mississippi (Cairo to Memphis) U.S.,2.766060606,0.0000815,0.0003,,16.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Jhelum out-fall channel (J. and K. state) India,0.353686115,0.000085,0.00067,,4.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mekong River at Nong Khai (No: 00249; p. 71),2.445747801,0.00009,0.00031,,13.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Athabasca River at Embarras Airport,1.5215311,0.00009,0.00019,,5.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Indus (at Hajipur) Pakistan,1.64983165,0.0001,0.00018,,4.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Ramganga (in U.P. state) India,2.479904306,0.0001065,0.00019,,7.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Lesser Slave (Slave Lake/at Hwy 2),0.866666667,0.00011,0.0002,,2.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Savannah (in Georgia) U.S.,0.433333333,0.00011,0.0008,,5.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Currawarna, New South Wales, Australia)",0.623112266,0.000113636,0.00063,,5.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Hay, New South Wales, Australia)",0.485716874,0.000113636,0.00095,,6.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Gogra (in Inchcape railway bridge, Bihar state) India",0.952525253,0.000115,0.0003,,4.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Barwon,2.323232323,0.000115,0.00015,,5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Niger River at Jebba, Nigeria (p. 72)",0.525252525,0.00013,0.00045,,3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Darlington Point, New South Wales, Australia)",0.577155442,0.000132576,0.00071,,5.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Yarrada Lagoon, New South Wales, Australia)",0.726232168,0.000132576,0.00052,,4.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Carrathool, New South Wales, Australia)",0.407926154,0.000132576,0.0013,,6.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Jhelum (at Shrinager, J. and K. state)  India",10.53067258,0.000137,0.000041,,5.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Yamuna (at Hamirpur, U.P. state) India",5.888888889,0.000159,0.00018,,11,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Ganga (at Mokameh in Bihar state) India,1.172656801,0.00016,0.00043,,5.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Sutlej (in Samasatta below railway bridge) Pakistan,2.206060606,0.000182,0.00017,,3.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Burhi Gandak (at Muzaffarpur, Bihar state) India",5.296969697,0.00019,0.0001,,4.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Tapi (at Ukai Gujrat state) India,1.09969697,0.000191,0.0016,,15.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Swan River near Kinuso,1.588296761,0.0002,0.00029,,3.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Narrandera, New South Wales, Australia)",0.827720337,0.000208333,0.0009,,5.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Bennihalla (above Railway Bridge, Gadag Hubli line) India",6.190909091,0.000227,0.00004,,1.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Redihalla (above Railway Bridge, Gadag Hubliline)",5.159090909,0.000227,0.00004,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Khipra (at Ujjain in M.P. state) India,0.139393939,0.00023,0.005,,5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Beaver (Alberta) Canada,0.785454545,0.00024,0.0005,,2.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mississippi,4.552034632,0.000248,0.00035,,10.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Brahmputra (at Dibrugarh, Assam state) India",0.763636364,0.000252,0.0003,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Red Deer River near Dutchess Bridge (No: 00253; p. 72),1.884297521,0.00027,0.00033,,3.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Murrumbidgee River (Wantabadgery, New South Wales, Australia)",0.821750826,0.000284091,0.00088,,4.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Saskatchewan,1.733333333,0.000286,0.0003,,3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Sinú River; Bogata, Columbia",2.181818182,0.000288,0.0004,,5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Red Deer River near Jenner Ferry (p. 72),1.435406699,0.0003,0.00038,,3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Red Deer River near Empress/near Bindloss,1.753246753,0.0003,0.00028,,2.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),N Fork Massie Cr,0.019480519,0.0003,0.0084,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Licking River,0.028428404,0.0003,0.01471,,2.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Yamuna (at Delhi) India,2.348484848,0.00031,0.00032,,4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Red Deer River near Buffalo Bridge (No: 00255; p. 72),1.377777778,0.00031,0.0003,,2.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Vatrak (at Kaira, Gujrat state) India",8.481616162,0.000328,0.00015,,6.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Pembina River below Paddy Creek,3.153846154,0.00033,0.00026,,4.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Bear Creek below Brigden, Ontario, Canada",7.741935484,0.00033,0.000062,,2.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.036796537,0.00034,0.028,,5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Vatrak (at Mehmadabad, Gujrat state) India",7.461818182,0.000342,0.00015,,5.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.021212121,0.00035,0.038,,3.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Cow Ck above Gatesville Reservoir, near Azalea, OR",0.086545455,0.000357,0.003,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Kosi (at Bhimnagar, Bihar state) India",0.476190476,0.0004,0.00056,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Black River,0.031833486,0.0004,0.0099,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"South Umpqua River at Tiller, OR",0.035381818,0.000417,0.025,,3.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mohor (at Kapadgan Gujrat state) India,25.93375617,0.00046,0.000043,,4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.045240642,0.00047,0.034,,5.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Tapi (at Nanavaracha, Gujrat state) India",13.55878788,0.00047,0.00025,,11.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),East Prarie near Enilda,6.611570248,0.0005,0.00033,,7.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Little Patuxent River at Guilford, Md.",0.640204866,0.0005,0.00071,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Eagle Creek,0.101981352,0.0005,0.00416,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Medicine River near Eckville,3.190615836,0.00051,0.00031,,3.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Damodar (above Durgapur, West Bengal state) India",2.372905526,0.000512,0.00034,,2.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.027575758,0.00052,0.08,,7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Sone (at Derhi, Bihar state) India",1.350649351,0.00052,0.00063,,2.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),McClintock River near Whitehorse (p. 66),1.825068871,0.00053,0.00044,,2.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.013071895,0.00055,0.051,,2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.046315789,0.00066,0.038,,4.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Salandi (at Bidhyadharpur below Salandi dam, Orissa state) India",1.268939394,0.00067,0.00096,,3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Mutha (at Poona, Maharashtra state) India",1.651313131,0.00067,0.0015,,6.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Wye,0.063636364,0.0007,0.028,,4.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Lune,0.015838384,0.0007,0.075,,2.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Sleepers River,0.022727273,0.0007,0.0168,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Ranoli (at railway bridge, Rajasthan state) India",3.867768595,0.00078,0.00011,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Usk,0.01969697,0.0009,0.072,,2.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Purna (in Surat District Gujrat state) India,1.077272727,0.0009,0.004,,7.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.056565657,0.00098,0.063,,6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Paradise Creek near Paradise, KS",2.909090909,0.001,0.0005,,2.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Red Willow Creek near Red Willow, NE",12.12121212,0.001,0.00011,,2.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Assiniboine,6.666666667,0.001,0.0004,,4.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.047711154,0.001,0.047,,3.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"West Branch Brandywine Creek near Honey Brook, PA",0.057877548,0.001,0.00733,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Laplatte River,0.029928919,0.001,0.0162,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Tioughnioga River,0.060251639,0.001,0.0171,,1.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Shade River,0.093448451,0.0012,0.0179,,2.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Saraswati (at Sidhpur, Gujrat state) India",6.565656566,0.00125,0.0003,,2.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Frenchman Creek at Hamlet, NE",5.836139169,0.0013,0.00027,,2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.042424242,0.0013,0.052,,2.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Teign,0.041592395,0.0014,0.051,,2.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Irfon C,0.024683196,0.0014,0.055,,1.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Big Elk Creek at Elk Mills, Md.",0.061381764,0.0014,0.01797,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.060632035,0.00149,0.07,,4.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Middle Fork Powder River near Kaycee, WY",2.954545455,0.0015,0.0004,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Owl Creek near Thermopolis, WY",5.194805195,0.0015,0.00021,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Greybull River near Basin, WY",1.636363636,0.0015,0.0005,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Tees,0.042502952,0.0015,0.077,,3.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.054195804,0.0015,0.052,,3.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Salt Creek,0.131466509,0.0015,0.01383,,2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Dollar,0.004559885,0.00158,0.105,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Orsong (near Bhadeli, Gujrat state) India",11.47916667,0.001595,0.00032,,3.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.054122622,0.0016,0.043,,2.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Derwent,0.050697451,0.0017,0.063,,3.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"NW Br Anacostia River near Colesville, Md.",1.36765889,0.0017,0.00113,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Beaver Creek,0.079152602,0.0017,0.01562,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Ottauquechee River,0.099067599,0.0017,0.0104,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.043887147,0.00175,0.058,,2.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Exe,0.045665962,0.0018,0.043,,1.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),UT to Lost Creek,0.139661192,0.0018,0.00703,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),SF Salmon,0.03362088,0.0019,0.0548,,1.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Little Falls at Blue Mount, Md.",0.992685475,0.0019,0.00174,,1.5,
